"Postal code area","Households, total, 2015 (TE)","Average size of households, 2015 (TE)","Occupancy rate, 2015 (TE)","Young single persons, 2015 (TE)","Young couples without children, 2015 (TE)","Households with children, 2015 (TE)","Households with small children, 2015 (TE)","Households with children under school age, 2015 (TE)","Households with school-age children, 2015 (TE)","Households with teenagers, 2015 (TE)","Adult households, 2015 (TE)","Pensioner households, 2015 (TE)","Households living in owner-occupied dwellings, 2015 (TE)","Households living in rented dwellings, 2015 (TE)","Households living in other dwellings, 2015 (TE)"
"02650 Pohjois-Leppävaara   (Espoo )",5517,1.9,33.3,799,536,1052,414,696,364,247,3441,1037,2803,2627,87
"02660 Lintuvaara   (Espoo )",2185,2.8,33.9,114,84,885,196,416,451,364,952,357,1345,799,41
"02680 Uusmäki   (Espoo )",879,2.4,34.6,122,71,332,131,207,133,73,427,122,469,399,11
"02700 Kauniainen   (Kauniainen )",3825,2.4,47.1,219,106,1124,203,444,566,509,1407,1335,2498,1140,187
"02710 Viherlaakso   (Espoo )",2819,2.1,37.3,233,103,688,195,346,316,229,1297,847,2035,714,70
"02720 Lähderanta   (Espoo )",1348,2.2,36.7,148,41,381,97,186,158,157,609,366,983,329,36
"02730 Jupperi   (Espoo )",1608,2.8,45.4,21,27,621,104,226,326,284,559,440,1502,59,47
"02740 Bemböle-Pakankylä   (Espoo )",1244,2.6,36.2,86,58,491,147,268,214,166,623,140,594,629,21
"02750 Sepänkylä-Kuurinniitty   (Espoo )",2460,2.5,34.9,269,142,967,282,508,453,320,1193,309,1418,1019,23
"02760 Tuomarila-Suvela   (Espoo )",6456,2.2,32.0,607,407,1932,641,1137,770,566,3371,1169,3245,3113,98
"02770 Espoon Keskus   (Espoo )",4778,2.2,32.8,508,299,1256,333,659,521,446,2609,930,1835,2887,56
"02780 Kauklahti   (Espoo )",3615,2.5,36.3,300,134,1495,393,786,725,499,1579,565,1833,1698,84
"02810 Gumböle-Karhusuo   (Espoo )",567,2.9,36.9,8,10,274,71,139,141,100,194,100,446,108,13
"02820 Nupuri-Nuuksio   (Espoo )",546,2.5,48.0,7,6,177,28,68,85,94,207,168,486,19,41
"02860 Siikajärvi   (Espoo )",269,2.5,41.7,4,1,76,15,26,45,36,106,89,238,19,12
"02880 Veikkola   (Kirkkonummi )",2152,2.7,41.9,53,45,900,187,413,468,374,772,496,1847,260,45
"02920 Niipperi   (Espoo )",1800,2.9,35.1,39,38,857,208,403,424,353,647,313,1249,507,44
"02940 Lippajärvi-Järvenperä   (Espoo )",4129,2.4,36.4,182,117,1483,355,705,698,561,1880,781,2627,1426,76
"02970 Kalajärvi   (Espoo )",1381,2.7,39.0,39,22,538,139,261,269,207,541,309,1060,284,37
"02980 Lakisto   (Espoo )",188,1.7,43.3,18,2,19,1,3,12,10,142,27,53,129,6
"03100 Nummela   (Vihti )",6959,2.1,39.8,621,261,1917,478,965,881,699,3231,1833,4737,2066,156
"03150 Huhmari   (Vihti )",327,2.4,50.3,3,9,86,12,25,44,46,149,94,297,4,26
"03220 Tervalampi   (Vihti )",252,2.4,49.9,3,4,67,8,20,33,34,103,83,235,13,4
"03250 Ojakkala   (Vihti )",731,2.7,43.5,9,13,289,50,131,142,120,272,175,683,33,15
"03300 Otalampi   (Vihti )",910,2.7,43.0,12,19,322,74,159,174,121,363,240,858,25,27
"03320 Selki   (Vihti )",140,2.5,48.2,5,1,39,9,18,22,19,64,37,123,10,7
"03400 Vihti Kirkonkylä   (Vihti )",2732,2.4,42.9,107,62,800,180,355,388,359,1129,827,2272,382,78
"03430 Jokikunta   (Vihti )",210,2.7,43.8,5,6,81,15,36,39,42,73,59,196,4,10
"03600 Karkkila Keskus   (Karkkila )",3191,2.0,40.5,207,60,701,161,336,354,300,1353,1153,2394,725,72
"03620 Polari   (Karkkila )",992,2.1,42.1,66,21,247,66,128,106,98,448,301,717,255,20
"03710 Uusitalo   (Karkkila )",81,2.5,46.9,2,1,25,6,11,9,11,28,29,78,2,1
"03790 Vihtijärvi   (Vihti )",212,2.5,48.3,4,4,61,10,29,33,19,81,75,192,9,11
"03810 Ikkala   (Lohja )",280,2.2,44.4,8,5,73,14,30,31,33,116,92,232,35,13
"03850 Pusula   (Lohja )",773,2.1,44.4,29,13,158,38,69,75,73,300,324,646,105,22
"03870 Hyönölä   (Lohja )",93,2.1,52.2,3,2,17,6,8,10,4,40,36,89,1,3
"04130 Sipoo   (Sipoo )",3091,2.3,41.5,154,68,916,189,397,417,404,1309,896,2287,717,87
"04150 Martinkylä   (Sipoo )",247,2.6,44.0,3,2,80,24,36,39,34,99,72,233,6,8
"04170 Paippinen   (Sipoo )",477,2.6,45.1,5,15,158,40,88,76,60,177,145,456,7,14
