"Postialue","Inhabitants, total, 2017","Inhabitants aged 18-64, 2017","Employment rate %, 2017","Unemployment rate %, 2017","Economic dependency ratio, 2017"
"54310 Hytti   (Lappeenranta )",434,256,76.6,10.1,119
"54330 Simola   (Lappeenranta )",420,252,72.6,14.1,128
"54390 Pulsa   (Lappeenranta )",144,78,71.8,12.5,153
"54410 Ylämaa Keskus   (Lappeenranta )",916,455,67.0,14.8,194
"54430 Hujakkala   (Lappeenranta )",163,81,61.7,20.6,214
"54460 Ylijärvi   (Lappeenranta )",86,43,76.7,8.3,161
"54490 Ahomäki   (Miehikkälä )",160,91,60.4,12.7,186
"54500 Taavetti-Somerharju   (Luumäki )",2717,1325,69.0,12.1,194
"54510 Uro   (Luumäki )",406,228,73.7,11.6,142
"54530 Luumäki   (Luumäki )",1193,679,74.7,9.8,130
"54550 Suo-Anttila   (Luumäki )",79,36,63.9,14.8,244
"54580 Somerharju   (Luumäki )",38,17,70.6,7.7,217
"54590 Kaitjärvi   (Luumäki )",125,59,74.6,8.3,178
"54710 Lemi Keskus   (Lemi )",1319,636,70.1,12.4,188
"54720 Laksiainen   (Lemi )",156,92,75.0,8.0,126
"54750 Välijoki   (Savitaipale )",268,153,69.3,12.4,151
"54770 Heituinlahti   (Savitaipale )",510,274,72.6,10.0,153
"54800 Savitaipale Keskus   (Savitaipale )",2525,1189,71.3,11.1,190
"54820 Kotimäki   (Lemi )",254,137,75.2,12.7,142
"54850 Kuukanniemi   (Lemi )",1121,665,71.7,13.3,133
"54915 Saimaanharju-Kyläniemi   (Taipalsaari )",1757,1040,75.8,10.6,121
"54920 Taipalsaari   (Taipalsaari )",1556,841,74.4,9.7,146
"54930 Levänen   (Taipalsaari )",305,164,69.5,13.0,163
"54940 Solkei   (Taipalsaari )",116,61,73.8,13.5,152
"54950 Pettilä   (Savitaipale )",96,47,78.7,11.9,140
"54960 Vehkataipale   (Taipalsaari )",598,325,74.8,11.0,145
"55100 Imatra Keskus   (Imatra )",9933,5559,67.7,14.7,161
"55120 Mansikkala-Tuulikallio   (Imatra )",3176,1742,60.1,17.6,200
"55300 Rauha-Tiuruniemi   (Lappeenranta )",966,529,70.1,12.3,158
"55320 Rauha   (Lappeenranta )",584,368,67.7,13.2,133
"55330 Tiuruniemi   (Lappeenranta )",58,39,59.0,23.3,132
"55400 Tainionkoski-Mustalampi   (Imatra )",1330,780,72.6,14.0,133
"55420 Karhumäki-Karhukallio   (Imatra )",2080,1130,73.9,9.7,146
"55510 Sotkulampi-Linnasuo   (Imatra )",1335,722,46.0,32.4,294
"55610 Rajapatsas-Teppanala   (Imatra )",2820,1591,63.2,20.1,179
"55700 Vintteri-Virasoja   (Imatra )",1400,854,71.9,15.4,127
"55800 Vuoksenniska-Saarlampi   (Imatra )",4125,2142,58.0,19.5,227
"55910 Rautio-Kurkvuori   (Imatra )",1584,908,65.0,17.1,166
"56100 Ruokolahti Keskus   (Ruokolahti )",2079,928,68.2,12.2,223
"56120 Salosaari   (Ruokolahti )",826,478,76.8,8.5,124
"56140 Äitsaari   (Ruokolahti )",226,117,70.1,10.9,176
"56210 Virmutjoki   (Ruokolahti )",413,240,67.9,13.3,150
"56310 Syyspohja   (Ruokolahti )",195,97,60.8,19.2,225
"56330 Utula   (Ruokolahti )",33,21,52.4,31.3,200
"56350 Kyläniemi   (Taipalsaari )",19,..,..,..,..
"56410 Kaiturinpää   (Ruokolahti )",137,70,72.9,5.6,164
"56440 Pohja-Lankila   (Ruokolahti )",218,105,57.1,23.1,246
"56510 Puntala   (Ruokolahti )",416,231,71.9,11.7,151
"56550 Niska-Pietilä   (Rautjärvi )",129,70,70.0,18.3,163
"56610 Rautjärvi   (Rautjärvi )",576,327,59.6,19.8,191
"56640 Purnujärvi   (Rautjärvi )",99,52,55.8,23.7,230
"56710 Miettilä   (Rautjärvi )",125,62,62.9,18.8,205
"56730 Laikko   (Rautjärvi )",301,161,63.4,17.7,184
"56800 Simpele   (Rautjärvi )",2391,1196,58.9,19.8,235
"57100 Heikinpohja-Piispanmäki   (Savonlinna )",3950,2139,58.5,16.6,209
"57120 Savonlinna   (Savonlinna )",31,25,96.0,4.0,29
"57130 Savonlinna Keskus   (Savonlinna )",1912,992,60.5,15.4,215
"57170 Sortteerinlahti-Talvisalo   (Savonlinna )",2013,1053,58.2,13.4,221
"57200 Miekonniemi-Venäjänniemi   (Savonlinna )",2426,1414,67.5,15.5,150
"57210 Nojanmaa   (Savonlinna )",2622,1567,73.4,13.7,126
"57220 Haka-alue-Viuhonmäki   (Savonlinna )",1425,790,55.3,24.3,224
"57230 Inkerinkylä   (Savonlinna )",3168,1879,60.9,18.8,175
"57310 Rinkilä   (Savonlinna )",697,366,68.9,13.7,173
"57510 Laitaatsilta   (Savonlinna )",486,262,72.5,12.0,153
"57600 Poukkusilta-Pihlajaniemi   (Savonlinna )",1870,1096,69.1,13.3,142
"57710 Kellarpelto-Rantakoivikko   (Savonlinna )",2826,1631,69.2,13.8,147
"57810 Aholahti   (Savonlinna )",323,194,70.6,13.8,134
"58130 Oravi   (Savonlinna )",131,54,68.5,15.9,254
"58140 Ahvensalmi   (Savonlinna )",78,45,51.1,23.3,239
"58150 Makkola   (Savonlinna )",216,114,74.6,8.6,148
"58160 Karvila   (Enonkoski )",160,93,65.6,15.3,146
"58170 Simanala   (Enonkoski )",255,137,82.5,8.9,122
"58175 Enonkoski Keskus   (Enonkoski )",847,381,61.7,19.0,249
"58180 Ihamaniemi   (Enonkoski )",145,71,59.2,22.2,237
"58200 Kerimäki Keskus   (Savonlinna )",3245,1578,65.9,15.2,208
"58220 Louhi   (Savonlinna )",406,248,70.2,16.3,131
"58260 Kumpuranta   (Savonlinna )",180,101,65.3,20.5,173
"58300 Savonranta Keskus   (Savonlinna )",659,317,59.3,21.0,247
"58320 Raikuu   (Savonlinna )",174,106,64.2,19.0,152
"58350 Villala   (Kitee )",211,115,49.6,32.1,264
"58360 Säimen   (Savonlinna )",187,90,48.9,29.0,307
"58390 Rönkönvaara   (Savonlinna )",52,23,52.2,25.0,333
"58410 Haapakallio   (Savonlinna )",618,359,75.8,11.1,122
"58420 Silvola   (Savonlinna )",327,188,78.7,10.3,118
"58430 Kulennoinen   (Savonlinna )",484,279,74.2,13.0,132
"58450 Punkaharju   (Savonlinna )",411,228,79.4,10.8,123
"58500 Punkasalmi   (Savonlinna )",1556,741,66.5,14.0,210
"58520 Hiukkajoki   (Savonlinna )",304,149,71.1,11.7,179
"58550 Putikko   (Savonlinna )",415,230,70.9,10.4,150
"58570 Ruhvana   (Savonlinna )",73,33,69.7,14.8,204
"58580 Vuoriniemi   (Savonlinna )",95,56,62.5,16.7,171
"58610 Telakanava   (Sulkava )",138,78,66.7,10.3,165
"58620 Lohilahti   (Sulkava )",241,120,60.0,18.2,235
"58650 Kiviapaja   (Savonlinna )",107,59,54.2,17.9,224
"58680 Piojärvi   (Savonlinna )",46,26,65.4,10.5,156
"58690 Ala-Särkilahti-Piojärvi   (Savonlinna )",98,48,70.8,10.5,172
"58700 Sulkava Keskus   (Sulkava )",2046,1021,64.7,15.9,205
"58720 Kaartilankoski   (Sulkava )",284,153,70.6,13.6,161
"58770 Pihlajalahti   (Savonlinna )",212,101,76.2,8.3,168
"58810 Kallislahti   (Savonlinna )",312,167,67.1,14.5,179
"58830 Parkumäki   (Rantasalmi )",292,156,68.6,13.7,168
"58850 Hiltula   (Rantasalmi )",104,61,70.5,14.0,142
"58900 Rantasalmi Keskus   (Rantasalmi )",2311,1156,64.0,15.9,205
"58910 Rantasalmi Asemanseutu   (Rantasalmi )",190,104,59.6,16.2,207
"58920 Kolkontaipale   (Rantasalmi )",321,179,73.2,12.7,133
"58940 Tuusmäki   (Rantasalmi )",231,142,77.5,6.0,106
"59100 Parikkala Keskus   (Parikkala )",2116,1019,67.8,13.4,200
"59130 Koitsanlahti   (Parikkala )",181,89,70.8,8.7,174
"59210 Melkoniemi   (Parikkala )",139,76,64.5,15.5,184
"59310 Särkisalmi   (Parikkala )",861,452,71.2,13.0,163
"59320 Haapaoja   (Parikkala )",82,38,52.6,25.9,310
"59410 Kirjavala   (Parikkala )",402,203,68.5,9.7,185
"59510 Maironiemi   (Parikkala )",385,197,62.9,15.6,206
"59520 Saari   (Parikkala )",121,60,56.7,20.9,256
"59530 Mikkolanniemi   (Parikkala )",75,35,54.3,17.4,275
"59610 Tarnala   (Parikkala )",160,94,55.3,30.7,202
"59710 Kummunkylä   (Parikkala )",106,63,63.5,14.9,165
"59720 Niukkala   (Parikkala )",158,81,61.7,19.4,216
"59730 Uukuniemi   (Parikkala )",111,34,55.9,17.4,484
"59800 Kesälahti Keskus   (Kitee )",1524,761,62.3,16.8,216
"59810 Suurikylä   (Kitee )",75,38,63.2,20.0,213
"59820 Purujärvi-Rajavaara   (Kitee )",145,85,72.9,11.4,127
"60100 Seinäjoki Keskus   (Seinäjoki )",9983,5990,62.7,13.3,162
"60120 Pohja   (Seinäjoki )",2628,1711,67.3,12.0,127
"60150 Kasperi   (Seinäjoki )",4634,2720,67.1,14.2,152
"60200 Törnävä   (Seinäjoki )",11511,7280,78.3,7.6,101
"60220 Huhtala   (Seinäjoki )",1828,1085,67.6,11.0,144
"60280 Eskoon Keskuslaitosalue   (Seinäjoki )",48,40,10.0,0.0,1100
"60320 Alakylä-Jouppi   (Seinäjoki )",7203,4451,71.8,9.5,123
"60420 Impivaara   (Seinäjoki )",1230,711,82.4,6.1,109
"60450 Munakka   (Ilmajoki )",423,234,81.2,7.8,122
"60510 Hyllykallio   (Seinäjoki )",8868,5494,81.5,6.5,97
"60550 Nurmo Keskus   (Seinäjoki )",4341,2404,77.7,7.7,131
"60560 Halkosaari   (Seinäjoki )",708,434,83.9,4.0,93
"60640 Kurjenneva   (Seinäjoki )",684,387,81.1,7.1,114
"60720 Tuomikylä   (Ilmajoki )",2173,1232,85.0,4.8,106
"60760 Pohjanluoma   (Ilmajoki )",995,581,80.2,4.9,112
"60800 Ilmajoki Keskus   (Ilmajoki )",5854,3145,73.7,7.8,149
"61100 Peräseinäjoki Keskus   (Seinäjoki )",2003,1024,70.1,13.3,174
"61110 Vuolle   (Seinäjoki )",189,89,84.3,8.5,149
"61120 Louko   (Seinäjoki )",683,393,78.9,5.5,119
"61140 Pasto   (Seinäjoki )",127,75,66.7,15.3,154
"61150 Sydänmaa   (Alavus )",73,37,64.9,17.2,192
"61160 Koura   (Seinäjoki )",576,306,77.8,6.3,139
"61170 Sääskiniemi   (Alavus )",271,166,72.9,6.9,122
"61180 Haapaluoma   (Seinäjoki )",213,120,74.2,13.6,134
"61220 Myllysalo   (Kurikka )",231,131,72.5,11.2,138
"61230 Luopa   (Kurikka )",708,396,70.7,11.4,148
"61250 Jalasto   (Kurikka )",301,167,79.6,5.0,125
"61270 Luopajärvi   (Kurikka )",618,365,81.4,5.7,104
"61280 Jokipii   (Kurikka )",508,297,74.4,5.2,128
"61290 Taivalmaa   (Kurikka )",108,64,81.3,7.1,104
"61300 Kurikka Keskus   (Kurikka )",6603,3454,70.6,9.7,166
"61310 Panttila   (Kurikka )",719,418,71.8,10.4,137
"61330 Koskenkorva   (Ilmajoki )",2064,1187,70.5,12.3,143
"61340 Nopankylä   (Ilmajoki )",258,142,64.1,15.0,177
"61350 Huissi   (Ilmajoki )",374,219,74.9,7.3,124
"61360 Mieto   (Kurikka )",1000,614,75.7,8.3,114
"61370 Lohiluoma   (Kurikka )",340,179,73.7,6.4,154
"61380 Polvenkylä   (Kurikka )",177,99,73.7,8.8,143
"61400 Ylistaro Keskus   (Seinäjoki )",2034,1002,68.4,12.0,191
"61410 Ylistaro Asemanseutu   (Seinäjoki )",785,445,77.1,9.5,126
"61430 Isorehto   (Seinäjoki )",401,220,76.4,5.6,139
"61440 Untamala   (Seinäjoki )",184,88,79.5,6.7,156
"61450 Kylänpää   (Seinäjoki )",586,308,70.1,10.0,169
"61460 Hanhikoski   (Seinäjoki )",230,121,77.7,6.0,142
"61470 Kitinoja   (Seinäjoki )",450,248,82.3,8.9,118
"61500 Isokyrö Keskus   (Isokyrö )",2710,1396,70.9,9.5,168
"61520 Lehmäjoki   (Isokyrö )",223,121,76.0,8.0,137
"61550 Orismala   (Isokyrö )",656,349,74.5,8.8,148
"61560 Orisberg   (Isokyrö )",59,36,69.4,13.8,127
"61600 Jalasjärvi Keskus   (Kurikka )",3965,1999,69.5,9.7,181
"61630 Hirvijärvi   (Kurikka )",292,172,76.7,6.4,121
"61640 Ala-Valli   (Kurikka )",190,112,70.5,8.1,138
"61650 Kalakoski   (Seinäjoki )",347,203,67.5,9.9,146
"61680 Mantila   (Kurikka )",238,120,83.3,4.8,138
"61710 Pentinmäki   (Kurikka )",280,159,78.6,8.1,122
"61720 Koskue   (Kurikka )",541,302,71.5,12.2,144
"61730 Yli-Valli   (Kurikka )",234,127,67.7,9.5,166
"61760 Ilvesjoki   (Kurikka )",343,190,72.6,11.0,145
"61800 Kauhajoki Keskus   (Kauhajoki )",8222,4578,68.5,11.5,158
"61810 Luomankylä   (Kauhajoki )",294,155,76.8,5.6,147
"61820 Kainasto   (Kauhajoki )",595,336,73.2,8.6,139
"61840 Norinkylä   (Teuva )",284,162,61.7,20.6,181
"61850 Kauhajoki Asemanseutu   (Kauhajoki )",2151,1177,68.3,10.5,164
"61860 Harja   (Kauhajoki )",215,118,76.3,3.2,139
"61880 Ikkeläjärvi   (Kauhajoki )",190,97,71.1,13.8,171
"61910 Nummijärvi   (Kauhajoki )",277,147,76.2,5.9,145
"61920 Nummikoski   (Kauhajoki )",65,44,61.4,10.0,141
"61940 Hyyppä   (Kauhajoki )",308,160,75.0,5.5,155
"61950 Juonikylä   (Kauhajoki )",160,91,59.3,15.6,196
"61960 Kyrönlatva   (Kauhajoki )",134,60,65.0,13.3,244
"61980 Päntäne   (Kauhajoki )",897,500,69.0,10.9,154
"62100 Lapua Keskus   (Lapua )",10852,5906,72.8,9.1,150
"62130 Hellanmaa   (Lapua )",552,282,74.1,5.9,160
"62150 Rintakangas   (Kauhava )",129,75,80.0,6.3,115
"62160 Karhunkylä   (Lapua )",607,313,77.6,6.2,148
"62165 Tiisteenjoki   (Lapua )",348,176,75.0,7.0,162
"62170 Lakaluoma   (Lapua )",284,157,71.3,6.7,149
"62175 Ylikylä-Mäenpää   (Lapua )",133,67,61.2,4.7,224
"62185 Mäki-Paavola   (Lapua )",139,75,81.3,9.0,124
"62190 Ruha   (Lapua )",577,344,79.1,8.1,110
"62200 Kauhava Keskus   (Kauhava )",5703,3058,71.6,9.0,158
"62220 Pernaa   (Kauhava )",438,254,76.8,9.3,125
"62230 Jylhä   (Kauhava )",389,212,74.1,6.5,142
"62240 Huhmarkoski   (Kauhava )",522,260,72.7,9.1,169
"62260 Hirvijoki   (Kauhava )",189,99,76.8,8.4,139
"62280 Mustamaa   (Lapua )",129,70,72.9,12.1,153
"62290 Hirvikylä   (Lapua )",260,146,76.0,7.5,134
"62295 Kauhajärvi   (Lapua )",426,215,64.7,13.7,200
"62300 Härmä   (Kauhava )",2406,1239,76.6,6.2,150
"62310 Voltti   (Kauhava )",1114,567,76.9,7.4,153
"62340 Kuoppa-Vakkuri   (Kauhava )",100,57,77.2,4.3,122
"62350 Ekola   (Kauhava )",121,62,79.0,2.0,147
"62370 Kangasto   (Kauhava )",219,109,61.5,11.8,222
"62375 Ylihärmä Keskus-Vesiluoma   (Kauhava )",2505,1338,72.1,9.0,158
"62380 Kosolankylä   (Kauhava )",209,104,76.0,8.1,161
"62395 Petterinmäki   (Vöyri )",127,64,60.9,15.2,210
"62410 Rintala   (Kauhava )",324,165,80.0,4.3,140
"62420 Kortesjärvi Keskus   (Kauhava )",1006,509,74.7,7.5,160
"62430 Peltotupa   (Kauhava )",140,73,79.5,7.9,137
"62435 Pirttinen   (Kauhava )",119,72,73.6,1.9,125
"62440 Perkiömäki   (Kauhava )",106,61,75.4,0.0,130
"62470 Purmojärvi   (Kauhava )",430,218,75.2,5.7,159
"62500 Evijärvi Keskus   (Evijärvi )",1510,777,77.2,7.4,149
"62510 Kuoppa-aho   (Evijärvi )",326,195,73.8,8.3,123
"62520 Kautiainen   (Evijärvi )",139,77,81.8,0.0,121
"62540 Vasikka-aho   (Evijärvi )",284,166,68.7,8.1,147
"62570 Särkilä   (Evijärvi )",204,113,72.6,10.9,137
"62600 Lappajärvi Keskus   (Lappajärvi )",1862,943,66.4,9.5,193
"62610 Tarvola   (Lappajärvi )",126,66,71.2,13.0,157
"62620 Ala-Seppä   (Lappajärvi )",194,93,69.9,12.2,190
"62630 Karvala   (Lappajärvi )",296,150,68.0,9.7,190
"62640 Savonkylä   (Lappajärvi )",122,60,70.0,14.3,191
"62660 Itäkylä   (Lappajärvi )",547,284,71.1,10.2,168
"62710 Kurejoki   (Alajärvi )",769,401,65.6,11.4,190
"62720 Sissala   (Alajärvi )",325,176,68.2,9.1,166
"62730 Haukkala   (Alajärvi )",234,122,67.2,11.8,182
"62740 Koskenvarsi   (Alajärvi )",212,112,70.5,12.2,162
"62750 Saukonkylä   (Alajärvi )",208,105,70.5,6.3,177
"62760 Menkijärvi   (Alajärvi )",217,103,66.0,11.7,215
"62800 Vimpeli Keskus   (Vimpeli )",2333,1243,68.1,9.3,173
"62810 Savonjoki   (Vimpeli )",118,66,68.2,10.0,162
"62830 Luoma-Aho   (Alajärvi )",335,179,71.5,7.2,158
"62840 Lakaniemi-Pokela   (Vimpeli )",51,31,64.5,9.1,143
"62860 Sahi   (Vimpeli )",189,98,72.4,10.1,163
"62870 Vinni   (Vimpeli )",51,32,71.9,14.8,122
"62880 Sääksvesi-Vinni   (Vimpeli )",257,142,74.6,10.9,138
"62900 Alajärvi Keskus   (Alajärvi )",4684,2393,67.7,13.0,184
"62920 Levijoki   (Alajärvi )",83,44,70.5,11.4,168
"62940 Hoisko   (Alajärvi )",561,294,68.7,14.4,176
"62950 Paalijärvi   (Alajärvi )",431,236,75.0,9.2,139
"62990 Möksy   (Alajärvi )",143,79,64.6,12.1,175
"63100 Kuortane Keskus   (Kuortane )",1462,680,74.3,6.3,184
"63120 Leppälänkylä   (Kuortane )",341,176,79.5,5.4,140
"63130 Mäyry   (Kuortane )",714,389,77.9,7.9,130
"63150 Ruona   (Kuortane )",404,227,65.2,10.8,168
"63160 Salmi   (Kuortane )",136,73,69.9,3.8,162
"63210 Niinimaa   (Alavus )",106,53,69.8,2.6,187
"63230 Lentilä   (Kuortane )",313,174,74.1,7.9,137
"63250 Rantala   (Kuortane )",111,71,76.1,12.9,106
"63300 Alavus Keskus   (Alavus )",4833,2459,70.6,9.0,175
"63320 Kattelus   (Alavus )",66,27,66.7,5.3,247
"63330 Pahajoki   (Alavus )",158,89,74.2,12.0,139
"63340 Sapsalampi   (Alavus )",204,104,75.0,2.5,149
"63350 Sulkavankylä   (Alavus )",213,113,74.3,7.7,151
"63355 Seinäjärvi   (Alavus )",119,71,63.4,11.8,153
"63360 Kuivaskylä   (Alavus )",257,148,62.8,17.0,176
"63370 Taipalus   (Alavus )",524,289,70.6,9.3,152
"63400 Alavus Asemanseutu   (Alavus )",1254,690,68.1,11.2,165
"63410 Rantatöysä   (Alavus )",437,241,63.5,11.6,182
"63430 Kätkänjoki   (Alavus )",147,76,72.4,8.3,163
"63450 Löyä   (Kuortane )",61,25,88.0,0.0,177
"63500 Lehtimäki Keskus   (Alajärvi )",912,477,66.2,12.9,182
"63510 Lehtimäki Kirkonkylä   (Alajärvi )",274,129,69.0,5.3,204
"63530 Länsikylä   (Alajärvi )",154,84,67.9,6.6,161
"63540 Hernesmaa   (Alajärvi )",201,101,69.3,14.6,179
"63600 Töysä Keskus   (Alavus )",1236,635,66.1,13.6,190
"63610 Tuuri   (Alavus )",1104,604,75.0,9.8,140
"63640 Ritola   (Alavus )",330,171,73.1,12.0,158
"63660 Ähtärinranta   (Ähtäri )",179,86,76.7,5.7,171
"63680 Hakojärvi   (Alavus )",329,180,62.2,17.0,191
"63700 Ähtäri Keskus   (Ähtäri )",4296,2219,68.0,12.2,179
"63770 Peränne   (Ähtäri )",202,106,81.1,2.3,132
"63780 Alastaipale   (Ähtäri )",156,81,74.1,4.8,160
"63800 Soini Keskus   (Soini )",1688,859,69.5,11.9,179
"63830 Keisala   (Soini )",75,41,61.0,24.2,200
"63880 Kukonkylä   (Soini )",165,83,69.9,6.5,175
"63890 Hautakylä   (Soini )",115,60,66.7,7.0,188
"63900 Myllymäki-Vehunkylä   (Ähtäri )",531,288,68.4,13.6,160
"63910 Inhan Tehtaat   (Ähtäri )",196,118,68.6,16.5,136
"63920 Inha   (Ähtäri )",339,179,73.2,7.7,155
"63950 Vehunkylä   (Ähtäri )",51,22,59.1,18.8,264
"64100 Kristiinankaupunki Keskus   (Kristiinankaupunki",2955,1499,73.2,7.4,164
"64140 Tiukka   (Kristiinankaupunki )",524,280,77.5,6.1,139
"64200 Närpiö Keskus   (Närpiö )",3000,1597,78.0,4.2,138
"64210 Kalax   (Närpiö )",431,229,86.0,2.0,119
"64220 Yttermark   (Närpiö )",937,561,83.4,3.3,98
"64230 Närpiön Asemanseutu   (Närpiö )",985,534,83.5,4.1,117
"64240 Böle   (Närpiö )",254,138,86.2,4.8,110
"64250 Pjelax   (Närpiö )",368,206,86.9,4.3,99
"64260 Kaskinen   (Närpiö )",1340,653,70.8,9.6,178
"64300 Lapväärtti   (Kristiinankaupunki )",1698,877,77.8,6.8,142
"64320 Dagsmark   (Kristiinankaupunki )",439,230,77.0,5.9,143
"64350 Karijoki Keskus   (Karijoki )",1088,596,75.2,7.2,140
"64370 Myrkky   (Karijoki )",276,139,70.5,10.9,179
"64440 Metsälä-Kallträsk   (Kristiinankaupunki )",203,104,72.1,5.1,164
"64450 Kallträsk   (Kristiinankaupunki )",57,33,57.6,13.6,185
"64460 Härkmeri   (Kristiinankaupunki )",338,188,79.3,5.1,124
"64480 Skaftung   (Kristiinankaupunki )",238,119,74.8,4.3,162
"64490 Siipyy   (Kristiinankaupunki )",163,73,78.1,6.6,186
"64510 Nämpnäs   (Närpiö )",428,244,84.0,3.8,104
"64530 Norrnäs   (Närpiö )",283,140,85.0,0.8,126
"64550 Rangsby   (Närpiö )",269,142,81.7,6.5,126
"64610 Övermark   (Närpiö )",1113,582,84.5,3.3,122
"64700 Teuva Keskus   (Teuva )",3324,1624,69.0,10.6,193
"64720 Perälä   (Teuva )",603,327,69.4,12.4,163
"64740 Horo   (Teuva )",247,106,63.2,9.5,263
"64760 Peltola   (Teuva )",326,182,73.6,10.7,136
"64770 Äystö   (Teuva )",502,264,78.0,6.8,140
"64810 Vanhakylä   (Isojoki )",239,114,76.3,5.4,163
"64820 Kärjenkoski   (Isojoki )",178,103,71.8,6.3,137
"64830 Villamo   (Isojoki )",175,87,73.6,5.9,169
"64840 Heikkilänjoki   (Isojoki )",44,21,76.2,5.9,175
"64850 Möykky   (Isojoki )",114,67,76.1,7.3,119
"64900 Isojoki Keskus   (Isojoki )",1106,576,74.7,7.7,153
"64930 Kodesjärvi   (Isojoki )",179,90,70.0,16.0,180
"65100 Vaasa Keskus   (Vaasa )",18071,11989,65.6,10.3,128
"65130 Hietalahti   (Vaasa )",0,0,0.0,0.0,0
"65170 Vaskiluoto   (Vaasa )",338,223,78.0,8.9,91
"65200 Palosaari   (Vaasa )",5758,4043,58.1,11.5,143
"65230 Vetokannas   (Vaasa )",5736,3332,73.4,10.3,134
"65280 Gerby   (Vaasa )",7226,4389,79.6,7.2,105
"65300 Asevelikylä   (Vaasa )",5094,2975,84.0,4.7,102
"65320 Huutoniemi   (Vaasa )",6262,3730,71.0,11.3,134
"65350 Suvilahti   (Vaasa )",3779,2179,72.0,11.6,137
"65370 Ristinummi   (Vaasa )",4325,2516,62.0,17.7,173
"65380 Vanha Vaasa   (Vaasa )",3250,1934,71.6,11.4,131
"65410 Sundom   (Vaasa )",2536,1374,84.3,4.5,116
"65450 Sulva   (Mustasaari )",2014,1089,83.7,5.4,118
"65460 Tölby-Rimal   (Mustasaari )",354,184,87.0,5.3,119
"65470 Rimal   (Mustasaari )",57,34,73.5,7.4,128
"65480 Vikby   (Mustasaari )",267,149,75.8,5.0,132
"65520 Helsingby   (Mustasaari )",1456,828,82.2,7.0,111
"65610 Mustasaari Keskus   (Mustasaari )",5894,3237,79.6,6.5,127
"65630 Karperö   (Mustasaari )",1353,772,86.3,4.3,101
"65650 Koskö   (Mustasaari )",290,172,85.5,5.2,93
"65710 Singsby   (Mustasaari )",609,312,84.0,4.0,129
"65730 Jungsund   (Mustasaari )",428,266,82.7,5.2,94
"65760 Iskmo   (Mustasaari )",296,178,83.1,3.9,100
"65800 Raippaluoto   (Mustasaari )",850,440,79.3,5.4,142
"65870 Björköby   (Mustasaari )",339,202,74.8,6.2,122
"65920 Norra Vallgrund-Söderudden   (Mustasaari )",330,188,79.8,8.0,119
"65930 Södra Vallgrund   (Mustasaari )",358,199,77.9,8.8,131
"65970 Söderudden   (Mustasaari )",189,93,76.3,10.1,152
"66100 Maalahti   (Maalahti )",1997,1107,78.4,6.5,128
"66140 Övermalax   (Maalahti )",1557,874,82.6,7.8,113
"66160 Långåminne   (Maalahti )",298,156,72.4,11.7,155
"66200 Korsnäs Keskus   (Korsnäs )",861,463,75.6,10.5,141
"66210 Moikipää   (Korsnäs )",544,315,80.0,7.0,112
"66220 Bergö   (Maalahti )",469,244,75.8,5.1,148
"66230 Korsbäck   (Korsnäs )",78,41,85.4,2.8,117
"66240 Petolahti   (Maalahti )",1017,534,78.1,6.9,141
"66260 Svarvar   (Maalahti )",102,48,75.0,2.7,168
"66270 Pirttikylä-Sorvari   (Närpiö )",853,428,78.7,6.4,149
"66280 Taklax   (Korsnäs )",351,187,78.1,6.4,137
"66290 Harrström   (Korsnäs )",326,184,83.7,4.9,109
"66295 Töjby   (Närpiö )",367,190,82.1,3.1,134
"66300 Jurva Keskus   (Kurikka )",2089,1055,68.9,11.6,181
"66320 Niemenkylä   (Kurikka )",324,171,67.3,14.2,177
"66330 Hakko   (Kurikka )",260,125,69.6,7.4,196
"66340 Sarvijoki   (Kurikka )",339,180,70.0,11.3,163
"66350 Tainus   (Kurikka )",146,70,68.6,9.4,204
"66360 Kesti   (Kurikka )",380,197,70.6,8.6,168
"66370 Närvijoki   (Kurikka )",270,130,68.5,13.6,203
"66400 Laihia Keskus   (Laihia )",6080,3286,78.6,6.8,132
"66420 Ruto   (Laihia )",332,193,76.2,10.4,124
"66430 Vedenoja   (Vaasa )",170,100,75.0,13.8,121
"66440 Tervajoki   (Isokyrö )",1911,1054,77.2,7.9,133
"66450 Jakkula   (Laihia )",867,476,77.7,8.9,130
"66460 Haapala   (Laihia )",336,175,74.3,9.7,157
"66470 Jukaja-Jokisalo   (Laihia )",329,181,72.4,7.7,144
"66500 Vähäkyrö Keskus   (Vaasa )",2291,1182,73.2,10.7,161
"66510 Merikaarto   (Vaasa )",1266,722,76.9,7.7,127
"66520 Veikkaala   (Mustasaari )",547,285,85.3,5.1,120
"66530 Koivulahti   (Mustasaari )",1887,1033,85.2,4.0,112
"66540 Petsmo   (Mustasaari )",585,318,82.1,6.5,122
"66550 Västerhankmo   (Mustasaari )",311,192,84.4,3.6,89
"66560 Österhankmo   (Mustasaari )",233,132,79.5,6.3,122
"66580 Kuni   (Mustasaari )",397,220,85.0,5.6,109
"66590 Vassor   (Mustasaari )",185,110,80.0,4.3,108
"66600 Vöyri Keskus   (Vöyri )",2777,1475,79.8,5.1,133
"66640 Maksamaa   (Vöyri )",1044,575,82.8,6.7,116
"66660 Bertby   (Vöyri )",148,81,90.1,1.4,95
"66680 Kaurajärvi   (Vöyri )",100,53,83.0,2.2,122
"66710 Kaitsor   (Vöyri )",259,142,83.8,3.3,116
