"Year","Quarter","Building type","Postal code","Year of construction","Mean"
"2005","Whole year","Building types total","21220","Year of construction, total",1141
"2005","Whole year","Building types total","21230","Year of construction, total",1019
"2005","Whole year","Building types total","21240","Year of construction, total",.
"2005","Whole year","Building types total","21250","Year of construction, total",1290
"2005","Whole year","Building types total","21260","Year of construction, total",1180
"2005","Whole year","Building types total","21270","Year of construction, total",982
"2005","Whole year","Building types total","21280","Year of construction, total",1749
"2005","Whole year","Building types total","21290","Year of construction, total",1437
"2005","Whole year","Building types total","21310","Year of construction, total",1156
"2005","Whole year","Building types total","21330","Year of construction, total",1074
"2005","Whole year","Building types total","21350","Year of construction, total",.
"2005","Whole year","Building types total","21360","Year of construction, total",1146
"2005","Whole year","Building types total","21370","Year of construction, total",.
"2005","Whole year","Building types total","21380","Year of construction, total",1081
"2005","Whole year","Building types total","21410","Year of construction, total",1761
"2005","Whole year","Building types total","21420","Year of construction, total",1226
"2005","Whole year","Building types total","21430","Year of construction, total",.
"2005","Whole year","Building types total","21450","Year of construction, total",802
"2005","Whole year","Building types total","21490","Year of construction, total",812
"2005","Whole year","Building types total","21500","Year of construction, total",1199
"2005","Whole year","Building types total","21530","Year of construction, total",976
"2005","Whole year","Building types total","21540","Year of construction, total",.
"2005","Whole year","Building types total","21560","Year of construction, total",.
"2005","Whole year","Building types total","21570","Year of construction, total",970
